time,open,high,low,close,volume,strategy_signal
2025-06-05 18:19:00,104749.84,104796.84,104749.84,104796.84,39.5116,0
2025-06-05 18:20:00,104796.84,104796.84,104782.75,104782.75,6.2245,0
2025-06-05 18:21:00,104782.75,104782.75,104762.06,104781.81,10.0239,0
2025-06-05 18:22:00,104781.81,104781.81,104754.54,104754.54,14.3194,0
2025-06-05 18:23:00,104754.54,104754.54,104749.84,104754.54,2.0047,0
2025-06-05 18:24:00,104754.54,104754.55,104754.54,104754.54,0.873,0
2025-06-05 18:25:00,104754.54,104754.54,104713.18,104713.18,22.8856,0
2025-06-05 18:26:00,104707.54,104707.75,104694.39,104706.73,4.8545,0
2025-06-05 18:27:00,104706.73,104706.73,104700.03,104700.03,3.075,0
2025-06-05 18:28:00,104700.03,104706.61,104699.09,104699.09,2.1708,0
2025-06-05 18:29:00,104699.09,104699.09,104699.09,104699.09,2.3111,0
2025-06-05 18:30:00,104699.09,104706.61,104694.39,104706.61,4.7378,0
2025-06-05 18:31:00,104706.61,104713.18,104706.61,104713.18,7.8383,0
2025-06-05 18:32:00,104713.18,104731.98,104713.18,104731.98,6.7498000000000005,0
2025-06-05 18:33:00,104731.98,104731.98,104724.47,104724.47,9.1434,0
2025-06-05 18:34:00,104724.47,104724.47,104713.18,104713.18,1.6111,0
2025-06-05 18:37:00,104715.06,104715.06,104704.73,104704.73,8.5198,0
2025-06-05 18:38:00,104704.73,104724.47,104639.87,104639.87,8.4239,0
2025-06-05 18:39:00,104614.48,104623.89,104545.87,104558.09,75.2499,0
2025-06-05 18:40:00,104558.09,104590.04,104558.09,104575.95,14.9388,0
2025-06-05 18:41:00,104575.95,104584.4,104539.29,104539.29,28.2896,0
2025-06-05 18:42:00,104539.29,104561.84,104518.61,104561.84,19.7159,0
2025-06-05 18:43:00,104561.84,104575.01,104561.84,104575.01,3.9775,0
2025-06-05 18:44:00,104575.01,104575.01,104529.89,104571.25,9.1363,0
2025-06-05 18:45:00,104571.25,104604.15,104571.25,104604.15,9.2451,0
2025-06-05 18:46:00,104604.15,104604.15,104519.54,104519.54,14.4723,0
2025-06-05 18:47:00,104519.54,104549.62,104516.73,104549.62,9.9671,0
2025-06-05 18:48:00,104549.62,104567.48,104549.62,104567.48,5.1664,0
2025-06-05 18:49:00,104567.48,104612.61,104567.48,104603.2,11.0727,0
2025-06-05 18:50:00,104603.2,104615.43,104603.2,104604.15,13.4181,0
2025-06-05 18:51:00,104604.15,104612.61,104604.15,104612.61,4.248,0
2025-06-05 18:52:00,104612.61,104620.12,104612.61,104620.12,3.5838,0
2025-06-05 18:53:00,104620.12,104631.4,104620.12,104631.4,1.8494,0
2025-06-05 18:54:00,104631.4,104654.9,104631.4,104652.09,26.8195,0
2025-06-05 18:55:00,104652.09,104674.65,104652.08,104674.65,18.369,0
2025-06-05 18:56:00,104674.65,104674.65,104655.84,104655.84,11.7015,0
2025-06-05 18:57:00,104655.84,104655.84,104636.11,104636.11,8.1752,0
2025-06-05 18:58:00,104636.11,104658.67,104636.11,104658.67,2.2374,0
2025-06-05 18:59:00,104658.67,104658.67,104658.67,104658.67,1.318,0
2025-06-05 19:00:00,104658.67,104658.67,104645.51,104645.51,8.0767,0
2025-06-05 19:01:00,104645.51,104671.83,104645.51,104671.83,14.6687,0
2025-06-05 19:02:00,104671.83,104671.83,104649.26,104649.26,3.9938,0
2025-06-05 19:03:00,104649.26,104649.26,104621.06,104644.56,6.9479,0
2025-06-05 19:04:00,104644.56,104644.56,104644.56,104644.56,2.8714,0
2025-06-05 19:05:00,104644.56,104693.45,104640.81,104683.11,6.8293,0
2025-06-05 19:06:00,104677.47,104677.47,104646.45,104651.15,3.844,0
2025-06-05 19:07:00,104651.15,104658.67,104651.15,104658.67,6.2141,0
2025-06-05 19:08:00,104658.67,104658.67,104631.4,104631.4,3.8134,0
2025-06-05 19:09:00,104631.4,104639.87,104628.59,104628.59,5.0555,0
