time,open,high,low,close,volume,RSI,SMA_25,SMA_50,wave_tag,tag,strategy_signal
2025-05-30 18:10:00,105386.23,105386.23,105330.76,105342.06,17.264400000000002,34.61127663162624,105436.6496,,0,0,0
2025-05-30 18:11:00,105373.06,105436.04,105354.26,105354.26,24.7194,33.28649470197675,105443.2296,,0,0,0
2025-05-30 18:12:00,105354.26,105409.73,105354.26,105409.73,5.0676,31.8171160609609,105455.6,,0,0,0
2025-05-30 18:13:00,105409.73,105409.73,105316.67,105320.43,7.7777,28.62340812613668,105464.2856,,2,0,0
2025-05-30 18:14:00,105320.43,105359.9,105320.43,105322.31,9.3113,31.96053822130113,105471.4676,,0,0,0
2025-05-30 18:15:00,105322.31,105353.33,105299.75,105332.65,15.7646,18.41884230419184,105476.4312,,0,0,0
2025-05-30 18:16:00,105332.65,105440.75,105332.65,105415.37,16.8155,25.859135219375688,105484.62799999998,,0,0,0
2025-05-30 18:17:00,105415.37,105474.59,105415.37,105474.59,6.0976,33.858904695036415,105491.4712,,0,0,0
2025-05-30 18:18:00,105474.59,105475.59,105453.9,105460.48,10.1714,41.917197331871854,105496.6972,,0,0,0
2025-05-30 18:19:00,105473.65,105515.95,105473.64,105515.95,6.428100000000001,48.519736842105424,105499.7428,,0,0,0
2025-05-30 18:20:00,105515.95,105528.17,105496.01,105496.03,8.4818,46.88556742864903,105498.796,,0,0,0
2025-05-30 18:21:00,105496.07,105593.97,105495.96,105593.97,6.1746,59.36966014809196,105500.1124,,0,0,0
2025-05-30 18:22:00,105593.97,105649.43,105593.97,105649.43,40.0173,66.75449473031603,105502.594,,0,0,0
2025-05-30 18:23:00,105649.43,105684.2,105649.42,105684.2,9.4718,73.53745043209004,105503.64639999998,,3,0,0
2025-05-30 18:24:00,105684.2,105695.48,105655.09,105683.26,13.232,78.92800217044748,105505.1876,,0,0,0
2025-05-30 18:25:00,105683.26,105685.15,105602.43,105602.43,18.0189,68.84730470707919,105506.5036,,0,0,0
2025-05-30 18:26:00,105602.43,105616.54,105583.62,105591.15,4.0855,64.7692858771041,105502.4052,,0,0,0
2025-05-30 18:27:00,105591.15,105612.76,105573.29,105587.39,9.72,75.24969733656238,105497.1416,,0,0,0
2025-05-30 18:28:00,105587.39,105628.75,105587.39,105628.75,5.4264,76.9696542983881,105494.84799999998,,0,0,0
2025-05-30 18:29:00,105628.75,105690.79,105628.75,105690.79,6.8518,78.89064567132424,105500.6384,,0,0,0
2025-05-30 18:30:00,105690.79,105699.25,105682.4,105687.97,8.7897,75.24448066380334,105506.8424,,0,0,0
2025-05-30 18:31:00,105687.97,105698.31,105661.65,105661.65,7.509,68.44700406295624,105511.9936,,0,0,0
2025-05-30 18:32:00,105661.65,105740.61,105661.65,105713.35,5.3147,73.2156956354097,105521.5064,105457.7958,0,0,0
